Main Author,Nombre total de citations,Volume,Date de publication,Auteurs,Revue,Pages,Numéro
Khadija EL KHARKI,56,13,2021/3/26,"Khadija El Kharki, Khalid Berrada, Daniel Burgos",Sustainability,3711,7
Khadija EL KHARKI,21,,2020/5/23,"Khadija El Kharki, Faouzi Bensamka, Khalid Berrada",,131-146,
Khadija EL KHARKI,18,1344,2020,"Hana Ait Si Ahmad, Khadija El Kharki, Khalid Berrada",Bridges and Mediation in Higher Distance Education,199-213,
Khadija EL KHARKI,10,,2020/12/22,"Khalid Berrada, Hana Ait Si Ahmad, Sofia Margoum, Khadija EL Kharki, Said Machwate, Rachid Bendaoud, Daniel Burgos",,191-205,
Khadija EL KHARKI,9,,2021/1/13,"Abdellah Jouicha Idrissi, Khalid Berrada, Rachid Bendaoud, Khadija El Kharki, Said Machwate, Abdellatif Miraoui",Iraqi Journal of Science,7-16,Abdellah Idrissi Jouicha
Khadija EL KHARKI,9,,2019/12/13,"Imane Zaatri, Khadija EL Kharki, Rachid Bendaoud, Khalid Berrada",,1-4,
Khadija EL KHARKI,8,1,2018/12,"Khadija El Kharki, Faouzi Bensamka, Khalid Berrada, Khalil El Hajjaji, Mohammed L'Bachir El Kbiach, Loubna Bounab",International Journal of Applied Research and Technology,1-8,
Khadija EL KHARKI,4,,2021/8/3,"Khadija El Kharki, Khalid Berrada, Faouzi Bensamka, Daniel Burgos",,233-249,
Khadija EL KHARKI,3,,2022/9/4,"Sara Ouahib, Khadija El Kharki, Rachid Bendaoud, Daniel Burgos, Khalid Berrada",,31-48,
Khadija EL KHARKI,2,,2022/1/1,"Khalid Berrada, Khadija El Kharki, Hana Ait Si Ahmad",,93-112,
Khadija EL KHARKI,,,2022/9/4,"Soumia Merrou, Khalid Berrada, Khadija El Kharki, Moulay El Mehdi Bouhamidi, Daniel Burgos",,173-188,
Khadija EL KHARKI,,,2022/9/4,"Khalid Berrada, Khadija El Kharki, Daniel Burgos",,1-7,
Khadija EL KHARKI,,,2022/9/4,"Hana Ait Si Ahmad, Khadija El Kharki, Daniel Burgos, Khalid Berrada",,63-74,
Khadija EL KHARKI,,,2020/9/17,"Hana Ait Si Ahmad, Khadija El Kharki, Khalid Berrada",,106-109,
Ovide Arino,548,36,1999,"Joydev Chattopadhyay, Ovide Arino",Nonlinear analysis,747-766,
Ovide Arino,459,40,2000/2,"Andrea De Gaetano, Ovide Arino",Journal of mathematical biology,136-168,
Ovide Arino,294,61,1999/1/1,"Christian Jost, Ovide Arino, Roger Arditi",Bulletin of Mathematical Biology,19-32,1
Ovide Arino,279,205,2007/1/7,"Ovide Arino, Moulay Lhassan Hbid, E Ait Dads",,,
Ovide Arino,202,27,1984,"O Arino, S Gautier, JP Penot",Funkcial. Ekvac,273-279,3
Ovide Arino,134,17,2004/4/2,"Ovide Arino, Jilali Mikram, Joydev Chattopadhyay",Nonlinearity,1101,3
Ovide Arino,118,53,1984/6/15,"O Arino, I Györi, A Jawhari",Journal of Differential Equations,115-123,1
Ovide Arino,116,28,1997/4/1,"E Ait Dads, K Ezzinbi, O Arino","Nonlinear Analysis: Theory, Methods & Applications",1141-1155,7
Ovide Arino,105,81,1989/9/1,"O Arino, I Győri",Journal of Differential Equations,98-105,1
Ovide Arino,102,43,1995/6,Ovide Arino,,3-25,1-2
Ovide Arino,101,27,1996/8/1,"E Ait Dads, O Arino",Nonlinear Anal,369-386,4
Ovide Arino,96,110,1984/10/21,"Marek Kimmel, Zbigniew Darzynkiewicz, Ovide Arino, Frank Traganos",Journal of theoretical biology,637-664,4
Ovide Arino,93,4,2004/1/31,"Amitava Mukhopadhyay, Andrea De Gaetano, Ovide Arino",Discrete and Continuous Dynamical Systems Series B,407-418,2
Ovide Arino,86,170,2001/3/1,"Ovide Arino, Mihály Pituk",Journal of differential equations,381-407,2
Ovide Arino,82,101,1985,"OA Arino, TA Burton, JR Haddock",Proceedings of the Royal Society of Edinburgh Section A: Mathematics,253-271,3-4
Ovide Arino,80,2,2001/12/1,"Abdelkader Lakmeche, Ovide Arino",Nonlinear Analysis: Real World Applications,455-465,4
Ovide Arino,80,11,1998/4/1,"Khashayar Pakdaman, Clodoaldo Grotta-Ragazzo, Coraci Pereira Malta, Ovide Arino, J-F Vibert",Neural Networks,509-519,3
Ovide Arino,79,47,1987/2,"Ovide Arino, Marek Kimmel",SIAM Journal on Applied Mathematics,128-145,1
Ovide Arino,77,13,2001/7,"Tibor Krisztin, Ovide Arino",Journal of Dynamics and Differential Equations,453-522,3
Ovide Arino,76,215,1997/11/15,"O Arino, E Sánchez, GF Webb",Journal of Mathematical Analysis and Applications,499-513,2
Khalid BERRADA,137,28,1995/7,"M Lapkowski, K Berrada, S Quillard, G Louarn, S Lefrant, A Pron",Macromolecules,1233-1238,4
Khalid BERRADA,123,19,1995,"S Quillard, K Berrada, G Louarn, S Lefrant, M Lapkowski, A Pron",New journal of chemistry,365-374,4
Khalid BERRADA,76,69,1995/3/1,"K Berrada, S Quillard, G Louam, S Lefrant",Synthetic metals,201-204,1-3
Khalid BERRADA,56,13,2021/3/26,"Khadija El Kharki, Khalid Berrada, Daniel Burgos",Sustainability,3711,7
Khalid BERRADA,41,13,2007,Khalid Berrada,Metaphorik. de,1-38,1
Khalid BERRADA,37,8,2020/1/15,"Abdellah Idrissi Jouicha, Khalid Berrada, Rachid Bendaoud, Said Machwate, Abdellatif Miraoui, Daniel Burgos",IEEE Access,17477-17488,
Khalid BERRADA,25,2007,2007/11/18,"A Elmansouri, A Outzourhit, A Oueriagli, A Lachkar, N Hadik, ME Achour, A Abouelaoualim, K Berrada, EL Ameziane",Active and Passive Electronic Components,,
Khalid BERRADA,23,5,2018,"Abdellah Idrissi, Sofia Margoum, Rachid Bendaoud, Khalid Berrada",IJIMAI,58-62,2
Khalid BERRADA,23,,2006,Khalid Berrada,Faculté des Lettres et des Sciences Humaines,,
Khalid BERRADA,21,,2020,"Khadija El Kharki, Faouzi Bensamka, Khalid Berrada",Radical solutions and eLearning: Practical innovations and online educational technology,131-146,
Khalid BERRADA,20,13,2021/5/24,"Said Machwate, Rachid Bendaoud, Juergen Henze, Khalid Berrada, Daniel Burgos",Sustainability,5926,11
Khalid BERRADA,18,,2021,"Hana Ait Si Ahmad, Khadija El Kharki, Khalid Berrada",,199-213,
Khalid BERRADA,14,,2020,"Imane Zaatri, Sofia Margoum, Rachid Bendaoud, Ilham Laaziz El Malti, Daniel Burgos, Khalid Berrada",Current state of open educational resources in the “belt and road” countries,119-134,
Khalid BERRADA,13,160,2010/7/1,"A Elmansouri, A Outzourhit, A Oueriagli, A Lachkar, N Hadik, ME Achour, A Abouelaoualim, A Malaoui, K Berrada, EL Ameziane",Synthetic metals,1487-1492,13-14
Khalid BERRADA,12,,2017,"K Berrada, A Almakari",,,
Khalid BERRADA,12,256,2009/10/15,"A Kaddouri, I Ashraf, M Ait El Fqih, H Targaoui, A El Boujlaidi, K Berrada",Applied surface science,116-119,1
Khalid BERRADA,10,,2021,"Khalid Berrada, Hana Ait Si Ahmad, Sofia Margoum, Khadija EL Kharki, Said Machwate, Rachid Bendaoud, Daniel Burgos",Radical solutions for education in a crisis context: COVID-19 as an opportunity for global learning,191-205,
