Name,Position,Email,Departments,H-Index (All),H-Index (Since 2018),i-Index (All),i-Index (Since 2018),Citations (All),Citations (Since 2018)
Khalid BERRADA,UM5R Rabat,Adresse e-mail validée de um5r.ac.ma,,13,12,18,13,814,414
Rachid Bendaoud,Université Cadi Ayyad - Marrakech,Adresse e-mail validée de uca.ac.ma,Physics - Education,9,8,9,4,245,162
MACHWATE,"PhD, Trans ERIE, FSSM, Cadi Ayyad University, Marrakech, Morocco",Adresse e-mail validée de uca.ac.ma,Hybrid learningE-LearningBlended LearningVirtual ExchangeMediatisation,6,6,4,2,114,108
Laurent Gajo,Université de Genève,Adresse e-mail validée de unige.ch,,26,16,53,24,2868,1181
Vincent Larivière,Université de Montréal,Adresse e-mail validée de umontreal.ca - Page d'accueil,scholarly communicationscientometricsscience policysociology of sciencebibliometrics,72,68,196,176,24651,17565
Mohammed aziz elhoumaizi,University Mohammed Premier,Adresse e-mail validée de ump.ac.ma - Page d'accueil,International date palm,9,8,9,8,566,307
Khadija EL KHARKI,"TransERIE, Faculty of Sciences Semlalia, Cadi Ayyad University, Marrakesh, Morocco",Adresse e-mail validée de edu.uca.ac.ma - Page d'accueil,Virtual LabsSimulatione-LearningEducational TechnologyEducational Innovation,7,7,4,3,140,134
Bernadette CHARLIER,Université de Fribourg,Adresse e-mail validée de unifr.ch,,29,17,65,34,3704,1307
Nathalie Deschryver,Haute école pédagogique du canton de Vaud,Adresse e-mail validée de hepl.ch,technologie de l'éducationinnovation en enseignement supérieurdispositifs de formation hybrides,17,11,30,13,1754,762
Khadija EL KHARKI,"TransERIE, Faculty of Sciences Semlalia, Cadi Ayyad University, Marrakesh, Morocco",Adresse e-mail validée de edu.uca.ac.ma - Page d'accueil,Virtual LabsSimulatione-LearningEducational TechnologyEducational Innovation,7,7,4,3,140,134
Noureddine Samlak,"Université Cadi Ayyad, Marrakech, Maroc",Adresse e-mail validée de uca.ma,Linguistiquesociolinguistiquedidactique des langues,2,2,0,0,12,11
Daniel Burgos,Universidad Internacional de La Rioja (UNIR),Adresse e-mail validée de unir.net - Page d'accueil,Educational TechnologyEducational InnovationeLearningOpen EducationLearning Analytics,42,33,125,84,7424,4655
